domain,question,keywords
OOP,Sample question 1 for OOP,"concept, definition, example"
DBMS,Sample question 2 for DBMS,"concept, definition, example"
OS,Sample question 3 for OS,"concept, definition, example"
HR,Sample question 4 for HR,"concept, definition, example"
ML,Sample question 5 for ML,"concept, definition, example"
OOP,Sample question 6 for OOP,"concept, definition, example"
DBMS,Sample question 7 for DBMS,"concept, definition, example"
OS,Sample question 8 for OS,"concept, definition, example"
HR,Sample question 9 for HR,"concept, definition, example"
ML,Sample question 10 for ML,"concept, definition, example"
OOP,Sample question 11 for OOP,"concept, definition, example"
DBMS,Sample question 12 for DBMS,"concept, definition, example"
OS,Sample question 13 for OS,"concept, definition, example"
HR,Sample question 14 for HR,"concept, definition, example"
ML,Sample question 15 for ML,"concept, definition, example"
OOP,Sample question 16 for OOP,"concept, definition, example"
DBMS,Sample question 17 for DBMS,"concept, definition, example"
OS,Sample question 18 for OS,"concept, definition, example"
HR,Sample question 19 for HR,"concept, definition, example"
ML,Sample question 20 for ML,"concept, definition, example"
OOP,Sample question 21 for OOP,"concept, definition, example"
DBMS,Sample question 22 for DBMS,"concept, definition, example"
OS,Sample question 23 for OS,"concept, definition, example"
HR,Sample question 24 for HR,"concept, definition, example"
ML,Sample question 25 for ML,"concept, definition, example"
OOP,Sample question 26 for OOP,"concept, definition, example"
DBMS,Sample question 27 for DBMS,"concept, definition, example"
OS,Sample question 28 for OS,"concept, definition, example"
HR,Sample question 29 for HR,"concept, definition, example"
ML,Sample question 30 for ML,"concept, definition, example"
OOP,Sample question 31 for OOP,"concept, definition, example"
DBMS,Sample question 32 for DBMS,"concept, definition, example"
OS,Sample question 33 for OS,"concept, definition, example"
HR,Sample question 34 for HR,"concept, definition, example"
ML,Sample question 35 for ML,"concept, definition, example"
OOP,Sample question 36 for OOP,"concept, definition, example"
DBMS,Sample question 37 for DBMS,"concept, definition, example"
OS,Sample question 38 for OS,"concept, definition, example"
HR,Sample question 39 for HR,"concept, definition, example"
ML,Sample question 40 for ML,"concept, definition, example"
OOP,Sample question 41 for OOP,"concept, definition, example"
DBMS,Sample question 42 for DBMS,"concept, definition, example"
OS,Sample question 43 for OS,"concept, definition, example"
HR,Sample question 44 for HR,"concept, definition, example"
ML,Sample question 45 for ML,"concept, definition, example"
OOP,Sample question 46 for OOP,"concept, definition, example"
DBMS,Sample question 47 for DBMS,"concept, definition, example"
OS,Sample question 48 for OS,"concept, definition, example"
HR,Sample question 49 for HR,"concept, definition, example"
ML,Sample question 50 for ML,"concept, definition, example"
OOP,Sample question 51 for OOP,"concept, definition, example"
DBMS,Sample question 52 for DBMS,"concept, definition, example"
