id,section,difficulty,topic,question,A,B,C,D,answer
AIML_ML_001,AI & ML,Easy,ML,What does ML stand for?,Machine Learning,Machine Logic,Model Learning,Mathematical Learning,A
AIML_ML_002,AI & ML,Easy,ML,Which type of ML uses labeled data?,Supervised,Unsupervised,Reinforcement,Semi-supervised,A
AIML_ML_003,AI & ML,Easy,ML,Which type of ML uses unlabeled data?,Unsupervised,Supervised,Reinforcement,Transfer,A
AIML_ML_004,AI & ML,Medium,ML,"In reinforcement learning, the agent learns through:",Rewards and penalties,Labeled examples,Clustering,Feature extraction,A
AIML_ML_005,AI & ML,Medium,ML,What is overfitting?,Model performs well on training but poorly on test data,Model performs poorly on all data,Model trains too slowly,Model has too few parameters,A
AIML_ML_006,AI & ML,Medium,ML,What is underfitting?,Model fails to capture patterns,Model memorizes training data,Too many parameters,Trains too fast,A
AIML_ML_007,AI & ML,Hard,ML,What is the bias-variance tradeoff?,Reducing bias increases variance and vice versa,Both should be maximized,Both should be minimized,They are independent,A
AIML_ML_008,AI & ML,Easy,ML,Which metric measures proportion of correct predictions?,Accuracy,Precision,Recall,F1-Score,A
AIML_ML_009,AI & ML,Medium,ML,Precision = ?,TP/(TP+FP),TP/(TP+FN),TN/(TN+FP),FP/(FP+TN),A
AIML_ML_010,AI & ML,Medium,ML,Recall = ?,TP/(TP+FN),TP/(TP+FP),TN/(TN+FN),FN/(FN+TP),A
AIML_ML_011,AI & ML,Medium,ML,F1-Score is:,Harmonic mean of Precision and Recall,Arithmetic mean,Product,Sum,A
AIML_ML_012,AI & ML,Hard,ML,What does AUC-ROC measure?,Model's ability to distinguish classes,Training time,Feature importance,Parameter count,A
AIML_ML_013,AI & ML,Medium,ML,Cross-validation helps in:,Robust model evaluation,Speed improvement,Feature selection only,Dataset reduction,A
AIML_ML_014,AI & ML,Medium,ML,What is k-fold cross-validation?,Data split into k equal parts; each used as validation once,k random splits,Train-test only,Thirds,A
AIML_ML_015,AI & ML,Medium,ML,Purpose of a validation set:,Tune hyperparameters during training,Test final performance,Increase training data,Directly reduce overfitting,A
AIML_ML_016,AI & ML,Medium,ML,L1 regularization is:,Lasso,Ridge,Elastic Net,Dropout,A
AIML_ML_017,AI & ML,Medium,ML,L2 regularization is:,Ridge,Lasso,Elastic Net,Batch Norm,A
AIML_ML_018,AI & ML,Medium,ML,Dropout in neural networks:,Prevents overfitting,Speeds up training,Adds data,Increases complexity,A
AIML_ML_019,AI & ML,Medium,ML,Feature engineering means:,Creating/transforming features to improve model,Selecting best model,Hyperparameter tuning,Data cleaning only,A
AIML_ML_020,AI & ML,Medium,ML,What is a hyperparameter?,Set before training; not learned,Learned from data,Dataset size,Model accuracy,A
AIML_ML_021,AI & ML,Medium,ML,Gradient descent minimizes:,Loss function,Accuracy,Feature count,Data size,A
AIML_ML_022,AI & ML,Medium,ML,Learning rate controls:,Step size in parameter updates,Iteration count,Batch size,Network depth,A
AIML_ML_023,AI & ML,Medium,ML,Batch gradient descent:,Uses entire dataset per update,Uses one sample,Uses mini-batches,Uses no samples,A
AIML_ML_024,AI & ML,Medium,ML,SGD (Stochastic Gradient Descent):,Uses one sample per update,Uses full dataset,Uses batches,Uses half data,A
AIML_ML_025,AI & ML,Easy,ML,Mini-batch GD uses:,A subset per update,Full dataset,One sample,Half data,A
AIML_ML_026,AI & ML,Hard,ML,Vanishing gradient problem:,Gradients too small to update early layers,Gradients too large,Model fails to converge,Accuracy drops,A
AIML_ML_027,AI & ML,Medium,ML,Most common hidden layer activation in deep nets:,ReLU,Sigmoid,Tanh,Softmax,A
AIML_ML_028,AI & ML,Medium,ML,Softmax used in output for:,Multiclass classification,Binary classification,Regression,Clustering,A
AIML_ML_029,AI & ML,Medium,ML,KNN default distance metric:,Euclidean,Manhattan,Cosine,Minkowski,A
AIML_ML_030,AI & ML,Easy,ML,'K' in KNN represents:,Number of nearest neighbors,Number of features,Number of clusters,Kernel parameter,A
AIML_ML_031,AI & ML,Hard,ML,KNN is an example of:,Lazy learning,Eager learning,Deep learning,Reinforcement learning,A
AIML_ML_032,AI & ML,Medium,ML,SVM finds:,Optimal hyperplane maximizing margin,Best cluster centroids,Decision tree splits,Regression line,A
AIML_ML_033,AI & ML,Hard,ML,Kernel trick in SVM:,Non-linear classification in transformed space,Faster training,Larger margins,Less memory,A
AIML_ML_034,AI & ML,Hard,ML,Naive Bayes assumes:,Features conditionally independent given class,Features correlated,Normal distribution,Binary features,A
AIML_ML_035,AI & ML,Easy,ML,Random Forest is ensemble of:,Decision Trees,SVMs,Neural Networks,K-Means,A
AIML_ML_036,AI & ML,Medium,ML,Boosting trains models to:,Correct errors of previous models,Extract features,Create clusters,Label data,A
AIML_ML_037,AI & ML,Easy,ML,XGBoost stands for:,Extreme Gradient Boosting,Extended Gradient Boosting,Extra Gradient Boosting,Exponential Gradient Boosting,A
AIML_ML_038,AI & ML,Hard,ML,Bagging reduces:,Variance,Bias,Training time,Overfitting only,A
AIML_ML_039,AI & ML,Easy,ML,Confusion matrix summarizes:,Classification performance via TP/FP/TN/FN,Feature importance,Training loss,Epochs,A
AIML_ML_040,AI & ML,Hard,ML,False Positive (FP) is also called:,Type I error,Type II error,True error,System error,A
AIML_ML_041,AI & ML,Hard,ML,False Negative (FN) is also called:,Type II error,Type I error,False error,Zero error,A
AIML_ML_042,AI & ML,Hard,ML,Best metric for imbalanced datasets:,F1-Score or AUC-ROC,Accuracy,MSE,R²,A
AIML_ML_043,AI & ML,Easy,ML,Data normalization:,Scales features to same range,Removes missing values,Selects features,Encodes labels,A
AIML_ML_044,AI & ML,Easy,ML,Min-Max scaling range:,"[0, 1]","[-1, 1]","[0, ∞)","N(0,1)",A
AIML_ML_045,AI & ML,Medium,ML,Z-score standardization produces:,"Mean 0, std 1","Range [0,1]","Range [-1,1]",Max 1,A
AIML_ML_046,AI & ML,Hard,ML,Isolation Forest is used for:,Anomaly detection,Classification,Regression,Clustering,A
AIML_ML_047,AI & ML,Medium,ML,Transfer learning:,Reuses pre-trained model for new tasks,Trains from scratch,Clusters data,Augments data,A
AIML_ML_048,AI & ML,Medium,ML,Dimensionality reduction:,Reduces features while retaining info,Increases accuracy,Improves precision,Adds features,A
AIML_ML_049,AI & ML,Medium,ML,PCA is a ___ dimensionality reduction technique:,Linear,Non-linear,Supervised,Probabilistic,A
AIML_ML_050,AI & ML,Easy,ML,PCA = ?,Principal Component Analysis,Partial Component Analysis,Principal Class Algorithm,Predictive Component Analysis,A
AIML_ML_051,AI & ML,Medium,ML,t-SNE is primarily for:,Data visualization in 2D/3D,Feature selection,Model training,Prediction,A
AIML_ML_052,AI & ML,Hard,ML,GAN consists of:,Generator and Discriminator,Encoder and Decoder,Conv and Pooling layers,Input and Output layers,A
AIML_ML_053,AI & ML,Hard,ML,Generator's goal in GAN:,Fool the discriminator,Classify inputs,Minimize loss directly,Select features,A
AIML_ML_054,AI & ML,Medium,ML,Elbow Method is used for:,Optimal number of clusters,Learning rate,Feature selection,Data splitting,A
AIML_ML_055,AI & ML,Hard,ML,Silhouette score evaluates:,Cluster quality,Model accuracy,Feature importance,Training loss,A
AIML_ML_056,AI & ML,Hard,ML,DBSCAN doesn't require specifying:,Number of clusters,Distance metric,Minimum points,Epsilon,A
AIML_ML_057,AI & ML,Easy,ML,K-Means assigns clusters by:,Distance to centroids,Label similarity,Density,Tree splits,A
AIML_ML_058,AI & ML,Medium,ML,Hierarchical clustering produces:,A dendrogram,Cluster centers,Feature weights,Class probabilities,A
AIML_ML_059,AI & ML,Medium,ML,Association rule mining finds:,Co-occurring items in transactions,Classifications,Continuous predictions,Anomalies,A
AIML_ML_060,AI & ML,Medium,ML,Apriori mines:,Frequent itemsets,Neural network weights,Decision boundaries,Principal components,A
AIML_ML_061,AI & ML,Medium,ML,Support in association rules:,Frequency of itemset in dataset,Confidence level,Number of rules,Lift value,A
AIML_ML_062,AI & ML,Medium,ML,Confidence in association rules:,P(B|A),P(A),P(A∩B),P(A∪B),A
AIML_ML_063,AI & ML,Hard,ML,Lift > 1 indicates:,Positive correlation between items,Negative correlation,No correlation,High support,A
AIML_ML_064,AI & ML,Easy,ML,MSE is used for:,Regression evaluation,Classification,Clustering,Dimensionality reduction,A
AIML_ML_065,AI & ML,Easy,ML,R² = 1 means:,Perfect fit,No fit,50% variance explained,Random prediction,A
AIML_ML_066,AI & ML,Hard,ML,Negative R² means:,Model worse than horizontal baseline,Perfect fit,Overfitting,100% variance explained,A
AIML_ML_067,AI & ML,Easy,ML,MAE = ?,Mean Absolute Error,Maximum Absolute Error,Mean Accuracy Error,Model Absolute Evaluation,A
AIML_ML_068,AI & ML,Medium,ML,RMSE penalizes:,Large errors more than MAE,Small errors,All errors equally,Zero errors,A
AIML_ML_069,AI & ML,Medium,ML,Learning curve shows:,Model performance vs training data size,Loss over epochs,Feature importance,Confusion matrix,A
AIML_ML_070,AI & ML,Medium,ML,Grid search:,Finds best hyperparameter combination exhaustively,Trains faster,Selects features,Reduces overfitting,A
AIML_ML_071,AI & ML,Hard,ML,Random search is better than grid search when:,Search space is very large,Data is small,Model is linear,Few features,A
AIML_ML_072,AI & ML,Hard,ML,Bayesian optimization uses:,Prior knowledge + likelihood,Random sampling,Full grid,Manual tuning,A
AIML_ML_073,AI & ML,Hard,ML,Feature importance in Random Forest:,Mean decrease in impurity,Correlation with label,PCA loading,Gradient magnitude,A
AIML_ML_074,AI & ML,Easy,ML,Logistic Regression output:,Probability between 0 and 1,Real-valued number,Cluster assignment,Decision tree node,A
AIML_ML_075,AI & ML,Medium,ML,Sigmoid function maps to:,"(0, 1)","(-∞, ∞)","[0, ∞)","[-1, 1]",A
AIML_ML_076,AI & ML,Easy,ML,One-hot encoding:,Encodes categorical variables as binary vectors,Scales numerical data,Reduces dimensions,Handles missing values,A
AIML_ML_077,AI & ML,Easy,ML,Label encoding:,Assigns integers to categories,Splits data,Normalizes labels,Removes labels,A
AIML_ML_078,AI & ML,Hard,ML,Data leakage:,Test set info leaks into training,Mislabeled data,Overfitting,Missing data,A
AIML_ML_079,AI & ML,Medium,ML,Stratified sampling:,Preserves class distribution in samples,Random sampling,Systematic sampling,Cluster sampling,A
AIML_ML_080,AI & ML,Hard,ML,Time series should be split:,"By time order, not randomly",Randomly,Stratified,K-fold,A
AIML_ML_081,AI & ML,Hard,ML,No Free Lunch theorem:,No single algorithm best for all problems,More data always helps,Deep learning always wins,Simpler is always better,A
AIML_ML_082,AI & ML,Hard,ML,Occam's Razor in ML:,Prefer simpler models if they explain data well,Complex is better,More features improve,Training longer helps,A
AIML_ML_083,AI & ML,Easy,ML,Most interpretable algorithm:,Decision Tree,Neural Network,SVM-RBF,XGBoost,A
AIML_ML_084,AI & ML,Medium,ML,Early stopping:,Stops training when validation loss increases,Speeds up training,Improves accuracy,Reduces bias,A
AIML_ML_085,AI & ML,Easy,ML,Most popular traditional ML library in Python:,scikit-learn,TensorFlow,PyTorch,Keras,A
AIML_ML_086,AI & ML,Easy,ML,fit() in scikit-learn:,Trains the model on data,Makes predictions,Evaluates model,Preprocesses data,A
AIML_ML_087,AI & ML,Easy,ML,predict() in scikit-learn:,Generates predictions on new data,Trains model,Evaluates accuracy,Transforms features,A
AIML_ML_088,AI & ML,Medium,ML,score() in scikit-learn returns:,Accuracy (classifiers) or R² (regressors),Training loss,Feature importance,Validation loss,A
AIML_ML_089,AI & ML,Medium,ML,What is the purpose of scikit-learn's Pipeline?,Chains preprocessing and model steps,Creates neural nets,Handles databases,Plots results,A
AIML_ML_090,AI & ML,Easy,ML,A model with low training error but high test error is:,Overfitting,Underfitting,Well-generalized,Unbiased,A
