Zone,State,City,Name,Type,Establishment Year,time needed to visit in hrs,Google review rating,Entrance Fee in INR,Airport with 50km Radius,Weekly Off,Significance,DSLR Allowed,Number of google review in lakhs,Best Time to visit,Full_Address,Latitude,Longitude
Northern,Delhi,Delhi,India Gate,Tourist Attraction,1931.0,1.0,4.6,0,Yes,None,All India War Memorial for soldiers of WWI.,Yes,2.8,Oct-Mar,"Rajpath, India Gate, New Delhi, Delhi 110001",28.6129,77.2295
Northern,Delhi,Delhi,Red Fort,Tourist Attraction,1648.0,3.0,4.5,25,Yes,Monday,"UNESCO World Heritage site, former residence of Mughal Emperors.",Yes,2.1,Oct-Mar,"Netaji Subhash Marg, Lal Qila, Chandni Chowk, New Delhi, Delhi 110006",28.6562,77.241
Northern,Delhi,Delhi,Qutub Minar,Tourist Attraction,1220.0,2.0,4.5,40,Yes,None,"UNESCO World Heritage site, tallest brick minaret in the world.",Yes,1.6,Oct-Mar,"Seth Sarai, Mehrauli, New Delhi, Delhi 110030",28.5245,77.1855
Northern,Delhi,Delhi,Humayun's Tomb,Tourist Attraction,1572.0,2.0,4.5,40,Yes,None,"UNESCO World Heritage site, first garden-tomb on the Indian subcontinent.",Yes,0.9,Oct-Mar,"Mathura Road, Nizamuddin East, New Delhi, Delhi 110013",28.5933,77.2507
Northern,Delhi,Delhi,Lotus Temple,Tourist Attraction,1986.0,1.5,4.5,0,Yes,Monday,"Baha'i House of Worship, notable for its flowerlike shape.",Yes,1.1,Oct-Mar,"Lotus Temple Rd, Bahapur, Shambhu Dayal Bagh, Kalkaji, New Delhi, Delhi 110019",28.5535,77.2588
Northern,Delhi,Delhi,Akshardham Temple,Tourist Attraction,2005.0,4.0,4.6,0,Yes,Monday,Large Hindu temple complex showcasing Indian culture and spirituality.,Yes,1.8,Oct-Mar,"Noida Mor, Pandav Nagar, New Delhi, Delhi 110092",28.6127,77.2773
Northern,Delhi,Delhi,Jama Masjid,Tourist Attraction,1656.0,1.5,4.5,0,Yes,None,"One of the largest mosques in India, built by Shah Jahan.",Yes,0.8,Oct-Mar,"Jama Masjid, Old Delhi, Delhi 110006",28.6507,77.2334
Northern,Delhi,Delhi,Purana Qila,Tourist Attraction,1538.0,2.0,4.5,30,Yes,None,"One of the oldest forts in Delhi, built by Humayun and Sher Shah Suri.",Yes,0.5,Oct-Mar,"Mathura Rd, Near Delhi Zoo, New Delhi, Delhi 110003",28.6096,77.2435
Northern,Delhi,Delhi,Safdarjung Tomb,Tourist Attraction,1754.0,2.0,4.5,25,Yes,None,"Mausoleum of Safdarjung, last monumental garden tomb of the Mughals.",Yes,0.5,Oct-Mar,"Airforce Golf Course, Delhi Race Club, New Delhi, Delhi 110021",28.5893,77.2106
Northern,Delhi,Delhi,Lodhi Garden,Tourist Attraction,1444.0,2.0,4.5,0,Yes,None,City park containing tombs of Sayyid and Lodhi rulers.,Yes,0.5,Oct-Mar,"Lodhi Rd, Lodhi Gardens, Lodhi Estate, New Delhi, Delhi 110003",28.5931,77.2197
